Year,State,Crime_Category,Crime_Type,Cases,Level
2019,Kedah,Property,Property,4678,Main
2019,Kedah,Assault,Causing Injury,328,Subcategory
2019,Kedah,Assault,Murder,20,Subcategory
2019,Kedah,Assault,Rape,145,Subcategory
2019,Kedah,Assault,Robbery Gang,280,Subcategory
2019,Kedah,Assault,Robbery Solo,164,Subcategory
2019,Kedah,Property,Break In,1138,Subcategory
2019,Kedah,Property,Theft Other,956,Subcategory
2019,Kedah,Property,Theft Vehicle,2584,Subcategory
2019,Kelantan,Assault,Assault,470,Main
2019,Kelantan,Property,Property,3075,Main
2019,Kelantan,Assault,Causing Injury,178,Subcategory
2019,Kelantan,Assault,Murder,9,Subcategory
2019,Kelantan,Assault,Rape,73,Subcategory
2019,Kelantan,Assault,Robbery Gang,123,Subcategory
2019,Kelantan,Assault,Robbery Solo,87,Subcategory
2019,Kelantan,Property,Break In,929,Subcategory
2019,Kelantan,Property,Theft Other,756,Subcategory
2019,Kelantan,Property,Theft Vehicle,1390,Subcategory
2019,Melaka,Assault,Assault,460,Main
2019,Melaka,Property,Property,2101,Main
2019,Melaka,Assault,Causing Injury,164,Subcategory
2019,Melaka,Assault,Murder,5,Subcategory
2019,Melaka,Assault,Rape,22,Subcategory
2019,Melaka,Assault,Robbery Gang,151,Subcategory
2019,Melaka,Assault,Robbery Solo,118,Subcategory
2019,Melaka,Property,Break In,681,Subcategory
